"thesis_id","thesis_topic_in_english"
"122","SELECTION OF RAW MATERIAL SUPPLIERS FOR RAW MATERIAL PACKING AT PT. MAJU MAKMUR UTOMO - METHOD : AHP AND GEOMETRIC MEAN"
"123","USER-GENERATED CONTENT BY THE BEAUTY INFLUENCER AND ITS IMPACT ON E-WOM AND PURCHASE INTENTIONS"
"124","THE INFLUENCE OF EMPLOYEE MOTIVATION, EMPLOYEE SATISFACTION, EMPLOYEE ENGAGEMENT ON EMPLOYEE WORK PERFORMANCE IN PRIVATE BANKING EMPLOYEES IN INDONESIA"
"125","THE EFFECT OF PROFITABILITY, LEVERAGE, COMPANY SIZE, AND AUDITORS REPUTATION ON AUDIT REPORT LAG (EMPIRICAL STUDY OF CONSUMER CYCLICALS COMPANIES LISTED ON IDX 2020-2022)"
"126","ANALYSIS OF CUSTOMS CLEARANCE VENDOR PERFORMANCE USE ANALYTICAL HIERARCHY PROCESS IN PT MARUZEN SAMUDERA TAIHEIYO"
"127","EVALUATION OF OEE PERFORMANCE ON SHRINK TUBE MACHINE MC.06 USING DMAIC METHOD AT PT. XYZ, CIBITUNG"
"128","AUTOMATIC PRESENTATION MATERIAL GENERATION APPLICATION USING GENERATIVE PRETRAINED TRANSFORMER 3 AND TEXT TO SPEECH"
"129","ENHANCING OPERATIONAL EFFICIENCY IN ENERGY MONITORING AND CONTROL: A FUZZY LOGIC APPROACH AT PT. AKEBONO BRAKE ASTRA INDONESIA"
"130","AUTOMATIC PRESENTATION MATERIAL GENERATION APPLICATION USING GENERATIVE PRETRAINED TRANSFORMER 3 AND TEXT TO SPEECH"
"131","THE EFFECT OF TOTAL QUALITY MANAGEMENT AND SUPPLY CHAIN INTEGRATION ON COAL PRODUCTION OPERATIONAL PERFORMANCEAT PT. PAMAPERSADA NUSANTARA, EAST KALIMANTAN"
"132","SYSTEM DESIGN OF RECORDS MAINTENANCE HYDRAULIC PRESS MACHINE APPLICATION IN PT. DASA WINDU AGUNG HEADLINING PRODUCTION LINE"
"133","ANALYSIS OF STRESS LEVEL OF CONSTRUCTION SERVICE EMPLOYEES USING PDCA AND FMEA IN JAKARTA"
"134","AUTOMATIC PRESENTATION MATERIAL GENERATION APPLICATION USING GENERATIVE PRETRAINED TRANSFORMER 3 AND TEXT TO SPEECH"
"135","USER EXPERIENCE ANALYSIS OF PT BANK XYZ BANKING APPLICATION USING USER EXPERIENCE QUESTIONNAIRE (UEQ) AND THINK ALOUD"
"136","USABILITY WEBSITE ANALYSIS OF SEDUDO NGANJUK USING USER EXPERIENCE QUESTIONNAIRE"
"137","ANALYSIS OF PRINT LAYOUT DESIGN FOR STANDING POUCH PACKAGING TO MINIMIZE PRODUCTION WASTE IN THE FLEXIBLE PACKAGING INDUSTRY"
"138","RISK MANAGEMENT DESIGN FOR CONTROLLING QUALITY USING FMEA, RCA, MTTF, MTTR, AND PICA METHOD AT PT. XYZ"
"139","THE INFLUENCE OF TRANSFORMATIONAL LEADERSHIP STYLE AND WORK ENGAGEMENT ON THE JOB PERFORMANCE OF THE MILLENNIAL EMPLOYEE"
"140","ANALYSIS OF THE EFFECT OF QUALITY SERVICE, PROMOTION AND BRAND IMAGE ON LOYALTY OF GENERATION Z IN USING THE OVO DIGITAL WALLET AS A PAYMENT METHOD AND TECHNIQUE"
"141","ANALYSIS OF THE INFLUENCE OF SERVICES QUALITY, SECURITY, AND PROMOTION ON CUSTOMER SATISFACTION (STUDY OF MILLENIAL GENERATION E-WALLET USERS)"
"142","ANALYSIS OF THE INFLUENCE OF DIGITALIZATION, SOCIAL MEDIA, AND CORPORATE BRANDING ON PROPERTY PURCHASE DECISIONS BY MILLENNIALS AND GEN Z IN WEST JAKARTA"
"143","ANALYSIS OF PT PESONNA OPTIMA JASA'S MARKETING PLANNING TO IMPROVING COMPANY PERFORMANCE"
"144","EFFECTIVENESS OF E-TRAINING, E-LEADERSHIP, AND WORK-LIFE BALANCE ON EMPLOYEE PERFORMANCE AT PT KAYU PERMATA"
"145","USER-GENERATED CONTENT BY THE BEAUTY INFLUENCER AND ITS IMPACT ON E-WOM AND PURCHASE INTENTIONS"
"146","ANALYSIS AND DESIGN OF VILLAGERS SERVICE INFORMATION SYSTEMS IN SUMBEREJO VILLAGE, BESUKI DISTRICT, SITUBONDO REGENCY"
"147","ANALYSIS OF SIX BIG LOSSES BY USING MEASUREMENT AND ANALYSIS OEE"
"148","INCREASE THE PRODUCTIVITY OF BEARING AUTOMOTIVE LINE 5 WITH OEE AND FMEA METHOD AT PT. XYZ"
"149","INVENTORY CONTROL USING THE EOQ (ECONOMY ORDER QUANTITY) METHOD AT PRAMUDYA WHOLESALE"
"150","ANALYSIS OF PT PESONNA OPTIMA JASA'S MARKETING PLANNING TO IMPROVING COMPANY PERFORMANCE"
"151","IMPLEMENTATION OF RECONCILIATION AND PAYMENT MANAGEMENT OF THIRD-PARTY FUNDS FOR BALANCE ADDITIONS AND BILL PAYMENTS VIA BANK"
"152","EFFECTIVENESS OF E-TRAINING, E-LEADERSHIP, AND WORK-LIFE BALANCE ON EMPLOYEE PERFORMANCE AT PT KAYU PERMATA"
"153","INCREASE THE PRODUCTIVITY OF BEARING AUTOMOTIVE LINE 5 WITH OEE AND FMEA METHOD AT PT. XYZ"
"154","THE INFLUENCE OF EMPLOYEE MOTIVATION, EMPLOYEE SATISFACTION, EMPLOYEE ENGAGEMENT ON EMPLOYEE WORK PERFORMANCE IN PRIVATE BANKING EMPLOYEES IN INDONESIA"
"155","ANALYSIS AND DESIGN OF VILLAGERS SERVICE INFORMATION SYSTEMS IN SUMBEREJO VILLAGE, BESUKI DISTRICT, SITUBONDO REGENCY"
"156","USER EXPERIENCE ANALYSIS ON THE MADRASAH DIGITAL REPORT CARD WEBSITE APPLICATION AT MTSS ASSA'ADAH CICURUG"
"157","TRAFFIC ENGINEERING ANALYSIS USING SEGMENT ROUTING TO IMPROVE NETWORK QOS"
"158","RISK MANAGEMENT DESIGN FOR CONTROLLING QUALITY USING FMEA, RCA, MTTF, MTTR, AND PICA METHOD AT PT. XYZ"
"159","PRODUCT QUALITY IMPROVEMENT IN REDUCING OFF SPECIFICATION PRODUCT USING OVERALL EQUIPMENT EFFECTIVENESS (OEE) AND RELIABILITY CENTERED MAINTENANCE (RCM) METHODS."
"160","OPTIMALIZATION QUALITY OF ALUMINIUM SULPHATE LIQUID USING THE LEAN SIX SIGMA METHOD AT PT TIMURAYA TUNGGAL KARAWANG"
"161","DETERMINATION OF PURCHASE DECISION OF K-POP ALBUM IN JABODETABEK: A CASE STUDY OF PRE-ORDER SYSTEM"
"162","EVALUATION OF USER EXPERIENCE ON PELITA AIR APPLICATION USING DESIGN THINKING METHOD"
"163","DETERMINATION OF PURCHASE DECISION OF K-POP ALBUM IN JABODETABEK: A CASE STUDY OF PRE-ORDER SYSTEM"
"164","INVENTORY CONTROL USING THE EOQ (ECONOMY ORDER QUANTITY) METHOD AT PRAMUDYA WHOLESALE"
"165","USER EXPERIENCE ANALYSIS OF PT BANK XYZ BANKING APPLICATION USING USER EXPERIENCE QUESTIONNAIRE (UEQ) AND THINK ALOUD"
"166","ANALYSIS AND DESIGN OF VILLAGERS SERVICE INFORMATION SYSTEMS IN SUMBEREJO VILLAGE, BESUKI DISTRICT, SITUBONDO REGENCY"
"167","DESIGN OF CUSTOMER MODULE TOUR TRAVEL APPLICATION (CASE STUDY: PT FAUZI HAYA TOUR TRAVEL)"
"168","ANALYSIS AND DESIGN OF STRUCTURED DATA IMPORT ON THE CX DASHBOARD WEBSITE TO IMPROVEDATA SECURITY AT PT. TELEKOMUNIKASI INDONESIA"
"169","THE INFLUENCE OF TRANSFORMATIONAL LEADERSHIP STYLE AND WORK ENGAGEMENT ON THE JOB PERFORMANCE OF THE MILLENNIAL EMPLOYEE"
"170","THE INFLUENCE OF AFFILIATE CONTENT AND SOCIAL MEDIA ON PURCHASE INTENTION OF HOME APPLIANCES PRODUCTS IN THE TIKTOK APPLICATION MODERATED BY BRAND AWARENESS AND MEDIATED BY ATTITUDE TOWARD DIGITAL MARKETING"
"171","THE INFLUENCE OF INFORMATION CREDIBILITY AND LOCAL SKINCARE PRODUCT REVIEWS ON TIKTOK SOCIAL MEDIA ON GENERATION Z'S PURCHASE INTENTION"
"172","IMPROVING THE DUMP TRUCK PAINTING QUALITY USING THE SIX SIGMA METHOD AT PT HYDRAXLE PERKASA"
"173","THE EFFECT OF SOCIAL MEDIA INFLUENCER ""TASYA FARASYA"", BRAND IMAGE AND ELECTRONIC WORD OF MOUTH (E-WOM) ON PURCHASE INTENTION OF GOLDEN BLACK COFFEE"
"174","COMPARATIVE ANALYSIS OF SALES DATA AT PT PERKEBUNAN NUSANTARA VIII USING MICROSOFT POWER BI WITH TABLEAU"
"175","ANALYSIS OF MUSCULOSKELETAL DISORDERS (MSDS) AND EMPLOYEE WORK POSTURE BASED ON ERGONOMIC ASPECTS AT PT FINTEK KARYA NUSANTARA"
"176","INCREASING PRODUCTIVITY OF D26 MODEL RESIN FUEL TANK ASSEMBLY USING TIME-STUDY AND OEE METHODS AT PT. XYZ"
"177","THE INFLUENCE OF SERVICE QUALITY AND PRICE ON PASSENGER LOYALTY MEDIATED BY SATISFACTION: CASE STUDY ON LOW COST CARRIERS IN INDONESIA"
"178","PRODUCTIVITY ANALYSIS CUTTING RUNNER FOR 4 CAVITY ON CELL MACHINE USING FAILURE MODE AND EFFECT ANALYSIS AND HIRADC METHODS AT PT. XYZ"
"179","QUALITY IMPROVEMENT OF BEARING PRODUCTION USING PDCA, OEE AND CBA IN PT XYZ"
"180","OPTIMIZATION ANALYSIS OF VESSEL COOLING TIME TO PREVENT NOPV2 VACCINE DEVIATION USING LINEAR REGRESSION AND FACTORIAL DOE AT PT BIOFARMA"
"181","FACTORS THAT DETERMINE THE DECISION TO BUY PRODUCTS BY PRE-ORDER (CASE STUDY ON THE K-POP GROUP CONSUMERS: NCT)"
"182","THE ROLE OF SOCIAL MEDIA MARKETING IN BUILDING SMARTPHONE BRAND LOYALTY"
"183","THE ROLE OF INFLUENCERS IN PURCHASE INTENTIONS FOR LOCAL FASHION PRODUCTS USING THEORY OF PLANNED BEHAVIOR (TPB)"
"184","WORK AREA DESIGN IN THE WORKSHOP DEPARTMENT USING RULA AND REBA METHODS (CASE STUDY: PT. XYZ-BOGOR)"
"185","USER EXPERIENCE ANALYSIS OF PT BANK XYZ BANKING APPLICATION USING USER EXPERIENCE QUESTIONNAIRE (UEQ) AND THINK ALOUD"
"186","DEVELOPMENT OF GREEN SUPPLY CHAIN MANAGEMENT AT PT. ASIA HARDWARE INDONESIA MANUFACTURING"
"187","ANALYSIS OF THE EFFECT OF COMPANY SIZE, LEVERAGE, PROFITABILITY, SALES GROWTH, MANAGERIAL OWNERSHIP, INSTITUTIONAL OWNERSHIP ON TAX ADVOIDANCE (CASE STUDY OF MANUFACTURING COMPANIES ON THE INDONESIA STOCK EXCHANGE PERIODE 2019-2021)"
"188","ANALYSIS AND DESIGN OF PERFORMANCE MANAGEMENT SYSTEM AT PT. TELEN ORBIT PRIMA"
"189","THE ROLE OF INFLUENCERS IN PURCHASE INTENTIONS FOR LOCAL FASHION PRODUCTS USING THEORY OF PLANNED BEHAVIOR (TPB)"
"190","ANALYSIS OF USER EXPERIENCE ON ONLINE LOAN APPLICATIONS ON CONSUMER SHOPPING INTEREST"
"191","WAREHOUSE SYSTEM DIGITALIZATION TECHNOLOGY DESIGN PT. SAE DALLETTA TARRU"
"192","USER EXPERIENCE ANALYSIS ON MUSIC STREAMING PLATFORM USING USER EXPERIENCE QUESTIONNAIRE AND PACMAD METHOD ON GEN Z"
